name;url;price;currency;description;brand;avg_rating;reviews_count;pack_size;ingredients;percentage_alcohol;serving_size
Corona Extra 12X330ml;https://www.tesco.com/groceries/en-GB/products/274360096;11.49;GBP;Beer. Find us on Facebook, Instagram, Twitter and our own channels:. www.coronaextra.co.uk. www.tapintoyourbeer.com. Brewed with 100% Natural Ingredients - Water, Barley, Maize, Hops,Only 4 Ingredients,No Artificial Flavours or Colours,No Added Preservatives;CORONA;3.5;15;Pack size: 3960ML;Water, Barley Malt, Maize, Hops;4.5% vol;
Tesco Plant Chef Tomato And Basil Soup 400G;https://www.tesco.com/groceries/en-GB/products/305834318;0.65;GBP;Tomato and basil soup.;TESCO PLANT CHEF;4.1;40;Pack size: 400G;;;2 Servings
Ritz Cheese Crackers 200G;https://www.tesco.com/groceries/en-GB/products/254925444;1.25;GBP;Cheese Flavoured Savoury Crackers. BeTreatwise.net. Suitable for vegetarians;RITZ;4.4;45;Pack size: 200G;Wheat Flour, Palm Oil, Cheese Powder 5, 3 %, Glucose-Fructose Syrup, Raising Agents (Ammonium Carbonates, Potassium Carbonates), Salt, Dried Yeast, Sugar, Flavourings (contains Milk), Acidity Regulators (Lactic Acid, Calcium Lactate), Black Pepper;;1 portion = 6-7 servings. 1 serving = 30 g
Tesco 6 Inch Cash Box;https://www.tesco.com/groceries/en-GB/products/257175220;6;GBP;Tesco 6 Inch Cash Box. Strong metal construction. Features sturdy plastic coin tray. H8xW15.2xD12cm. Black 6 inch cash box;TESCO HOMEOFFICE;4.5;37;;;;
Tesco Bamboo Chopping Board Small;https://www.tesco.com/groceries/en-GB/products/303676894;4;GBP;Tesco Bamboo Chopping Board Small;TESCO HOME;4.7;3;;;;
Tesco Free From Salad Cream 440G;https://www.tesco.com/groceries/en-GB/products/287547933;1.4;GBP;Egg free salad cream.;FREE FROM;4.3;21;Pack size: 440G;;;approx. 29 Servings
Genius Gluten Free Soft White Farmhouse 535G;https://www.tesco.com/groceries/en-GB/products/273949444;3;GBP;Gluten Free White Sliced Bread. Did you know you can recycle our bread bags at larger supermarkets along with other plastic bags?. High in fibre,Low in sugar and saturated fat,Gluten and milk free,Made without wheat,Suitable for Coeliacs and Vegetarians;GENIUS;3.5;7;Pack size: 535G;Starches [Maize, Potato, Tapioca], Water, Rapeseed Oil, Humectant (Vegetable Glycerol), Psyllium Husk, Yeast, Stabilisers (Hydroxypropyl Methyl Cellulose, Xanthan Gum), Golden Flaxseed, Free Range Dried Egg White, Rice Flour, Iodised Salt (Salt, Potassium Iodate), Dextrose, Fermented Maize Starch, Partially Inverted Sugar Syrup, Vitamins & Minerals (Calcium Carbonate, Niacin, Iron, Riboflavin, Thiamine, Folic Acid);;Number of servings: 15, Serving size: 36g
Mugshot Roast Chicken Pasta 55G;https://www.tesco.com/groceries/en-GB/products/266584914;0.8;GBP;Pasta spirals in a roast chicken flavour sauce. Less Than 1% Fat,Less Than 220 Calories,Made with Natural Flavours,No Artificial Colours,Suitable for Vegetarians;MUGSHOT;4.3;51;Pack size: 55G;Dried Pasta [Durum Wheat Semolina], Potato Starch, Whey Powder (Milk), Natural Flavourings (contain Wheat, Barley), Maltodextrin, Palm Oil, Dried Glucose Syrup, Onion Powder, Salt, Milk Proteins, Dried Parsley, Stabiliser (Dipotassium Phosphate), Ground Black Pepper, Emulsifier (Mono- and Di-Glycerides of Fatty Acids);;This represents one serving
Tesco Finest South African Shiraz 75Cl;https://www.tesco.com/groceries/en-GB/products/274763570;7.5;GBP;Shiraz. Wine of South Africa, W.O. Swartland. Wine of South Africa,Spicy & full bodied,Suitable for vegans;TESCO FINEST;2.9;34;Pack size: 75CL;;14% vol;6 Servings
Meridian Smooth Peanut Butter 1Kg;https://www.tesco.com/groceries/en-GB/products/301638252;6.5;GBP;Smooth Peanut Butter 100%. For more recipe ideas see www.meridianfoods.co.uk. No Palm Oil Ever!,100% Nuts,Plant Based Protein,Made From Natural Ingredients,We Don't Fly Our Ingredients;MERIDIAN;3.8;24;Pack size: 1KG;Roasted Peanuts Whole Skin On (100%);;
Moosehead Grubby Putty 100G;https://www.tesco.com/groceries/en-GB/products/276975004;5;GBP;Grubby Putty . Wash out formula,Suitable for medium to longer lengths,Not tested on animals;MOOSEHEAD;;;Pack size: 100G;Water (Aqua), Petrolatum, Koalin, Beeswax, Carnauba (Copernicia Cerifera) Wax, PEG - 7 Glyceryl Cocoate, Oleth-5, Mineral Oil (Paraffinum Liquidum), Fragrance (Parfum), Methylisothiazolinone (and) Methylchloroisothiazolinone;;
Profoot 10Cm Toe Foam Set;https://www.tesco.com/groceries/en-GB/products/311956574;3.5;GBP;PROFOOT 10CM TOE FOAM SET . Part of the Profoot range of footcare solutions. For more information on our range go to www.profoot.co.uk. Instant Pain and Pressure Relief,Tubular foam for toes or fingers,Comfortable in All Types of Shoes,Trim to Fit;PROFOOT;;;;;;
Vileda Turbo Smart Spin Mop Refill;https://www.tesco.com/groceries/en-GB/products/304980883;6;GBP;Vileda Turbo Smart Spin Mop Refill. Microfibre refill head for the Easy Wring & Clean. Mop head is machine washable at up to 60°C.. Mop head is machine washable at up to 60°C.. 100% microfibre,Absorbency dirt pick up;VILEDA;5;1;;;;
Real Lancashire Eccles Cakes 4 Pack;https://www.tesco.com/groceries/en-GB/products/252479773;2.3;GBP;Eccles cakes. For further details please go to our web site www.lancashireecclescakes.co.uk. Containing pure butter,Suitable for vegetarians;REAL LANCS;3.2;36;;Raisins, Currants, Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)), Butter (Milk) (9.1%), Sugar, Water, Vegetable Fat (Palm Oil, Rapeseed Oil), Vegetable Margarine (Palm Oil, Palm Kernel Oil, Rapeseed Oil), Dried Skimmed Milk, Salt;;
Tesco Ground Black Pepper 50G;https://www.tesco.com/groceries/en-GB/products/256146389;1.55;GBP;Ground black pepper.;TESCO;2.9;9;Pack size: 50G;;;approx. 20 Servings
Knorr Rich Beef Stock Pot 4 X 28G;https://www.tesco.com/groceries/en-GB/products/273952198;1.65;GBP;Concentrated Beef Stock. Enhance the irresistibly deep, meaty flavour of your dishes with the full-bodied taste of Knorr Rich Beef Stock Pots,Knorr Rich Beef Stock Pots contain quality ingredients to bring out the rich flavour of your beef dishes,Simply dissolve the rich beef stock pot in 500 ml of boiling water or add it directly into the dish,We’re on a mission to help the nation eat more vegetables as we believe it’s better for you and for the planet – helping to create a more sustainable food future by reinventing food for humanity,Our gluten-free rich beef stock pots contain no added MSG and are free from artificial colours and preservatives,The rich and flavourful taste of a Knorr stock pot is an easy way to make a beef dish stand out. Try it in a beef stroganoff or look for recipe inspiration on the Knorr website;KNORR;4.4;94;Pack size: 112G;Water, salt, BARLEY malt extract, flavourings (MILK), beef fat (beef fat, antioxidant (extracts of rosemary)) (2.6%), beef stock powder (2.5%), yeast extract, caramel syrup, potassium chloride, maltodextrin, sugar, gelling agents (xanthan gum, locust bean gum), onion juice concentrate†, sunflower oil, beef powder (0.1%), lemon juice powder (lemon juice, maltodextrin), lovage roots†, thyme†.   † Sustainably grown;;
Milo Activ-Go Cocoa Malt Beverage 240Ml;https://www.tesco.com/groceries/en-GB/products/309753769;1.3;GBP;Chocolate Flavoured Malt Milk Drink with vitamins and minerals. Sterilised. Have you tried MILO® malt chocolate powder? Delicious malty chocolate flavoured powder which can be enjoyed as part of a nutritious breakfast.. Delicious malt chocolate milk drink,Great for on the go in a 240ml can,Best served chilled,With added vitamins & minerals,Source of vitamin D, C, B6, riboflavin, niacin, phosphorus and iron;MILO;5;2;Pack size: 240ML;Water, Reconstituted Skimmed Milk 24% (Water, Skimmed Milk Powder), Protomalt Malt Extract (Malt Barley (1.8%), Tapioca Starch), Sugar, Fat-Reduced Cocoa Powder (1.2%), Palm Oil, Emulsifiers (Soya Lecithin, Mono- and Diglycerides of Fatty Acids), Minerals (Magnesium, Phosphorus, Iron), Maltodextrin, Stabilisers (Carrageenan, Sodium Alginate), Flavouring, Vanillin, Vitamins (D3, B2, B3, B6), Salt;;Contains one serving
Cauldron Falafel 200G;https://www.tesco.com/groceries/en-GB/products/266727804;2.45;GBP;Falafels made with chickpeas, onion and coriander. For more exciting recipe inspiration visit: cauldronfoods.co.uk. Chickpeas, coriander and a pinch of cumin,Ready to eat,Source of protein,Low in saturated fat,High in fibre,Made with non GM ingredients,Suitable for vegans,Vegetarian Society Approved - Vegan;CAULDRON;3.8;41;Pack size: 200G;Chickpeas (58%), Onion (11%), Seasoning [Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin & Thiamine), Salt, Sugar, Cumin (0.3%), Coriander (0.3%), Parsley, Black Pepper, Raising Agent: Sodium Bicarbonate], Vegetable Oils (Sunflower, Rapeseed), Breadcrumb [Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin & Thiamine), Salt, Yeast], Parsley, Coriander (0.8%), Garlic Purée;;4 Servings
Leo Bancroft Medium Claw Black;https://www.tesco.com/groceries/en-GB/products/284449812;3.4;GBP;Leo Bancroft Medium Claw Black;LEO BANCROFT;1;1;;;;
Vtech Switch And Go Dino Assorted;https://www.tesco.com/groceries/en-GB/products/304328983;11;GBP;Vtech Switch And Go Dino Assorted. Within a few steps, you can easily change your vehicle into a lively dinosaur!,Press the action buttons to activate dinosaur facts and sound effects,Educational flash card included;VTECH;;;;;;
Lego Jurassic World Embargo 76945;https://www.tesco.com/groceries/en-GB/products/310163004;18;GBP;LEGO JURASSIC WORLD EMBARGO 76945;LEGO;;;;;;
Tommee Tippee Carton Newborn Starter Set 0+ Months;https://www.tesco.com/groceries/en-GB/products/310691732;37;GBP;T/T CTN Newborn Starter Set 0+ Months . Here for you. Breastfeeding, bottle feeding or switching between the two. However you feed your baby, it can sometimes feel tough.. When you need support that's simple and straightforward, you can count on us.... Brighter futures™. Is our plan to protect the planet, like the fact there is no single use plastic used in this pack. The most breast-like teat ever,Shaped like mum for a natural latch,Anti-colic teat to ease discomfort,Slow and medium flow,BPA free;TOMMEE TIPPEE;4.9;10;;;;
Maui Moisture Smooth & Revive Vanilla Bean Conditioner 385Ml;https://www.tesco.com/groceries/en-GB/products/305431461;8.5;GBP;Maui Moisture Smooth & Revive Vanilla Bean Conditioner 385Ml. For frizzy, unruly hair,Defrizz, mend and restore,Rich vanilla bean,Creamy cocoa butter,Lush kukui nut oil,Made with 100% aloe juice as first ingredient,Wholesome beauty;MAUI MOISTURE;;;Pack size: 385ML;Aloe Barbadensis Leaf Juice, Aqua/Water/Eau, Cetearyl Alcohol, Behentrimonium Chloride, Cetyl Alcohol, Glycerin, Vanilla Planifolia Fruit Extract, Theobroma Cacao (Cocoa/Cacao) Seed Butter, Aleurites Moluccanus (Kukui Nut/Noix de Kukui) Seed Oil, Cocos Nucifera (Coconut/Noix de Coco) Water, Cocos Nucifera (Coconut/Noix de Coco) Oil, Polyquaternium-10, Polyquaternium-37, Panthenol, PPG-1 Trideceth-6, Stearamidopropyl Dimethylamine, Isostearyl Hydroxystearate, Dicaprylyl Carbonate, Isopropyl Myristate, Propylene Glycol Dicaprylate/Dicaprate, Steareth-20, Sorbitan Oleate, Isopropyl Alcohol, Acrylates/Stearyl Methacrylate Copolymer, Citric Acid, Sodium Hydroxide, Maltodextrin, Sodium Benzoate, Leuconostoc/Radish Root Ferment Filtrate, Tocopherol, Sodium Chloride, Hydroxystearic Acid, Isostearyl Alcohol, Parfum/Fragrance;;
Tesco Finest Hot Smoked Mackerel Fillets 110G;https://www.tesco.com/groceries/en-GB/products/300535450;2.2;GBP;Hot smoked mackerel fillets.;TESCO FINEST;3.6;7;Pack size: 70G;;;1 Servings
Funko 6Inch Pop Assortment;https://www.tesco.com/groceries/en-GB/products/302363217;16;GBP;"Funko 6Inch Pop Assortment. Marvel,6"" Super Pop,Bobblehead";POP;;;;;;
Aussie Sos Super Charged Repair Hair Mask 450Ml;https://www.tesco.com/groceries/en-GB/products/309198632;12;GBP;Aussie SOS Super charged Repair Hair Mask 450ml . Aussie SOS Supercharged Repair hair mask with authentic Australian botanical ingredients,For damaged hair in urgent need of rescue,Recyclabe (depending on recycling facilities),Aussie is recognized cruelty free by PETA,SuperFoods. Super-Charged. Super-Hair,This hair mask is vegan (vegan formula: without animal derived ingredients or bi-products);AUSSIE;4.9;162;Pack size: 450ML;Aqua, Stearyl Alcohol, Bis-Aminopropyl Dimethicone, Behentrimonium Chloride, Cetyl Alcohol, Isopropyl Alcohol, Parfum, Phenoxyethanol, Benzyl Alcohol, Sodium Benzoate, Limonene, Disodium EDTA, Citric Acid, Polysorbate 20, Linalool, Glycerin, Butylene Glycol, Santalum Acuminatum Fruit Extract, Leptospermum Scoparium Leaf Extract, Alcohol Denatured;;
The Fair Mile Shiraz Malbec 75Cl;https://www.tesco.com/groceries/en-GB/products/301745129;6.5;GBP;Shiraz / Malbec. Wine of South Africa - Wine of Origin Western Cape. Integrity & Sustainability. Wine and Spirit Board. www.swsa.co.za. Fairtrade,Wine of Western Cape, South Africa,Suitable for vegans;THE FAIR MILE;2.1;19;Pack size: 75CL;;13.5% vol;6 Servings
Listerine Coolmint Milder 500Ml;https://www.tesco.com/groceries/en-GB/products/268648952;3;GBP;Listerine Coolmint Milder 500Ml;LISTERINE;4.1;9612;Pack size: 500ML;[PR-009972], Aqua, Propylene Glycol, Sorbitol, Poloxamer 407, Sodium Lauryl Sulfate, Eucalyptol, Benzoic Acid, Sodium Benzoate, Methyl Salicylate, Thymol, Sodium Saccharin, Sodium Fluoride, Menthol, Sucralose, Aroma, CI 42053, Contains Sodium Fluoride (220 ppm F);;
Tesco Coconut Oil 4 Roll;https://www.tesco.com/groceries/en-GB/products/297445007;1.79;GBP;Luxury Soft Coconut Oil toilet tissue 4 white rolls;TESCO;3;9;Pack size: 640SHT;;;
Fling Thai Inspired Salad Kit 280G;https://www.tesco.com/groceries/en-GB/products/307158706;2;GBP;A mix of Chinese leaf, carrot, spinach, spring onion and radish with sachets of a citrus mayonnaise, a sriracha dressing and rice crackers. 1 of Your Five a Day,Under 170 Calories Per Serving,Together Just the Way You Like it!,Suitable for Vegans;FLING;4.8;12;Pack size: 280G;"Chinese Leaf, Carrot, Citrus Mayonnaise Dressing (12%) (Water, Rapeseed Oil, Spirit Vinegar, Yuzu Juice, Sugar, Pea Protein, Citrus Fibre, Salt, Soy Sauce (Water, Salt, Molasses, Soya Beans, Malt Vinegar (Barley), Malt Extract (Barley), Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamine)), Lime Leaves, Stabiliser: Xanthan Gum, Dextrose), Spinach, Sriracha Dressing (8%) (Water, Rapeseed Oil, Spirit Vinegar, Tomatoes, Red Chilli Puree, Sugar, Concentrated Tomato Paste, Garlic Puree, Salt, Yeast Extract (Barley), Chilli Flakes, Colours: Plain Caramel, Paprika Extract; Stabiliser: Xanthan Gum; Black Pepper), Spring Onion, Radish, Rice Crackers (7%) (Rice, Sunflower Oil, Sugar, Tapioca Starch, Soy Sauce (Water, Soya Bean, Wheat, Salt), Salt, Garlic Powder, Maltodextrin, Liquorice Powder, Capsicum Extract, Yeast Extract, Colour: Paprika Extract)";;2 Servings
Tiger Tiger Udon Japanese Style Noodles 400G;https://www.tesco.com/groceries/en-GB/products/293258857;1.4;GBP;Tiger Tiger Udon Japanese Style Noodles 400G. Unleash the Taste,Simply Heat & Eat,No Added Artificial Colours, Flavours or Preservatives,Suitable for Vegetarians;TIGER TIGER;3.6;5;Pack size: 400G;Wheat Flour (45%), Water, Modified Tapioca Starch, Salt, Distilled Vinegar, Acidity Regulator (Lactic Acid);;
Schwtz Authentic Mix Somerset Pork 36G;https://www.tesco.com/groceries/en-GB/products/255887509;0.9;GBP;A rich and tasty recipe mix with aromatic sage, thyme and bay leaves with a hint of cream for a simple casserole full of flavour. Find more delicious at www.schwartz.co.uk. Picked with care. Packed with flavour,Simply follow the 3 easy steps on the pack to create a delicious casserole in 65 minutes;SCHWARTZ;4;10;Pack size: 36G;Wheat Flour (with Calcium, Iron, Niacin (Vitamin B3), Thiamin (Vitamin B1)), Modified Starch, Sugar, Tomato Powder, Natural Flavourings (contains Barley, Sulphites), Salt, Onion Powder, Herbs (Sage, Bay Leaves, Parsley, Thyme), Cream Powder (from Milk), Flavouring (contains Sulphites), Rapeseed Oil, Whey Powder (from Milk), Skimmed Milk Powder, Barley Malt Extract, Colour (Carotenes);;4 Servings
Dubble Bubble Mini Gumball Machine 40G;https://www.tesco.com/groceries/en-GB/products/311435062;1.25;GBP;Mini Gumball Machine Assorted Flavour Gumballs. Contains Genetically Modified Ingredients;DUBBLE BUBBLE;5;1;Pack size: 40G;Sugar, Dextrose, Glucose Syrup, Gum Base (contains Antioxidant: E321), Thickener: Gum Arabic, Tapioca Starch, Glazing Agents: Shellac, Carnauba Wax, Colours: E100, E133, E160a, E162, E163, Flavourings, Maize Starch;;
Tesco Kitchen Towel 1 Roll 100 Sheets;https://www.tesco.com/groceries/en-GB/products/306495786;1.95;GBP;Tesco Kitchen Towel 1 roll;TESCO;1.9;10;Pack size: 100SHT;;;
Tommee Tippee Decorative Soothers 6-18 Months X2;https://www.tesco.com/groceries/en-GB/products/265284891;1.95;GBP;Tommee Tippee Decorative Soothers 6-18 Months X2. Natural rubber latex cherry baglet. BPA-free.  . To comfort and soothe,Microwave steriliser safe,BPA free;TOMMEE TIPPEE;4.7;3;;;;
Colour Wonder Paw Patrol;https://www.tesco.com/groceries/en-GB/products/291585600;6.5;GBP;Colour Wonder Paw Patrol. Contents: 5 Colour Wonder markers, 18 colouring pages,Won't colour on skin, furniture or fabric,For mess-free colouring;CRAYOLA;;;;;;
Cadbury Bitsa Wispa Bag 110G;https://www.tesco.com/groceries/en-GB/products/285383271;1.25;GBP;Textured milk chocolates. BeTreatwise.net. Get to know your treats. 7x pieces = 1 Portion = 8 % of the RI* of kcal. *% reference intake of an average adult (8400 kJ / 2000 kcal). Cocoa Life. Partnering with Fairtrade Foundation. www.cocoalife.org. Suitable for vegetarians;CADBURY;5;3;Pack size: 110G;Milk, Sugar, Cocoa Butter, Cocoa Mass, Vegetable Fats (Palm, Shea), Whey Powder (from Milk), Emulsifier (E442), Flavourings, Milk Solids 14 % minimum, Cocoa Solids 25 % minimum, Contains Vegetable Fats in addition to Cocoa Butter;;7x pieces = 1 Portion. 4 portions per bag
Tesco Rainbow Hearts Bottle 550Ml;https://www.tesco.com/groceries/en-GB/products/311520427;4;GBP;TESCO RAINBOW HEARTS BOTTLE 550ML . Capacity: 550ml,Heart pattern design, rainbow colour;TESCO HOME;;;;;;
Nakd Peanut Delight Fruit & Peanut Bars 4X35g;https://www.tesco.com/groceries/en-GB/products/308467569;3;GBP;Fruit & Peanut Bars with Natural Flavouring. Discover More at eatnakd.com. Let's care for our planet together. 100% natural ingredients,No added sugar - only natural sweetness,Raw - cold pressed,Contributes to 1 of your 5 a day,Gluten Free,Dairy Free,Source of fibre,Suitable for Vegans;NAKD;;;Pack size: 140G;Dates† 53%, Peanuts† 46%, Sea Salt, A hint of Natural Flavouring, †Dates & Peanuts not from Britain;;
Belazu Vegan Harissa Pesto 165G;https://www.tesco.com/groceries/en-GB/products/303852075;3;GBP;Tomato Paste with Rose Harissa. Mediterranean tomato pesto blended with our signature rose harissa,Chilli rating - 1,Live Life in Full Flavour,Great taste 2018,Suitable for vegans;BELAZU;5;7;Pack size: 165G;Rehydrated Sun-Dried Tomatoes (46%), Sunflower Oil, Rose Harissa Paste (18%) (Rehydrated Peppers, Sunflower Oil, Spices, Garlic, Salt, Rose Petals), Semi-Dried Tomatoes, Extra Virgin Olive Oil, Salt, Vinegar, Garlic Puree, Herbes de Provence, Acidity Regulator: Lactic Acid;;
Durex Condoms Extra Safe 12'S;https://www.tesco.com/groceries/en-GB/products/289622602;11;GBP;Durex Condoms Extra Safe 12'S. The Naked Truth. Sourcing. We're Big on Protection for you and the planet. We try to do the right thing by sourcing latex in a responsible way that benefits local communities. Find Your Best Fit www.durex.com. World's* No. 1 Condom Brand. *Sales based. See durex.co.uk. Regular Fit;DUREX;;;;;;
Good Boy Chewy Chicken Dumbbells 90G;https://www.tesco.com/groceries/en-GB/products/268533287;2.25;GBP;A Complementary Pet Food for Dogs. Lovingly made with 100% natural chicken breast meat,Loved by puppies & small dogs,Low in fat,Get your dog's tail wagging!;GOOD BOY;5;4;Pack size: 90G;Chicken Breast (70%), Rawhide, Potato Starch, Glycerin, Albumen and Salt, Additives: Sensory Additives: Colourants;;
Just For Men Hair Colourant Natural Light Brown;https://www.tesco.com/groceries/en-GB/products/250980441;6.75;GBP;Just For Men Hair Colourant Natural Light Brown. Visit justformen.com for more information and How-To videos. Original Formula,Restores Original Colour,For a Natural Look,Fast & Easy Shampoo-In Haircolour,With Keratin, Olive Oil & Vitamin E for Strong Hair,Single Application Haircolour Kit,World's Leader in Men's Haircolour;JUST FOR MEN;;;;Colour Base: Aqua, Ethanolamine, Canola Oil Fatty Acids, Cetearyl Alcohol, Steareth-21, Oleyl Alcohol, Resorcinol, p-Phenylenediamine, Keratin, Olea Europaea (Olive) Fruit Oil, Tocopheryl Acetate, Parfum, Petrolatum, Sodium Sulfite, Erythorbic Acid, p-Aminophenol, m-Aminophenol, Cetearyl Glucoside, Dicetyl Phosphate, N, N-Bis(2-Hydroxyethyl)-p-Phenylenediamine Sulfate, Ceteth-10 Phosphate, Cetyl Alcohol, Hydrolyzed Keratin, Etidronic Acid, 2, 4-Diaminophenoxyethanol HCI. (RD-005300), Colour Developer: Aqua, Hydrogen Peroxide, Cetearyl Alcohol, Laureth-23, Ceteareth-20, Acrylates/Steareth-20 Methacrylate Crosspolymer, Steareth-2, Etidronic Acid, Disodium EDTA, Sodium Stannate. (RD-004783);;
Good4u Protein Salad Topper Garlic & Herb 125G;https://www.tesco.com/groceries/en-GB/products/302274674;2.1;GBP;Garlic & Herb Roasted Seeds with Crunchy Peas and Edamame. Consume as part of a balanced diet and active lifestyle. For more about the range and delicious recipe ideas go to www.good4u.co/saladtopper.. More importantly, we'd love to hear your feedback, ideas and recipes also so get in touch on social!. Instagram. Twitter. Facebook. 100% natural,Crunchy & aromatic,Roasted seeds with peas and edamame,Feel the benefit,No added sugar,High protein and fibre,Suitable for vegans;GOOD4U;3.8;6;Pack size: 150G;Roasted Green Peas, Roasted Sunflower Seeds, Roasted Pumpkin Seeds, Roasted Edamame Beans (Soya), Garlic Powder (2%), Chicory Root Fibre, Rapeseed Oil, Cider Vinegar, Onion Powder, Salt, Ground Rosemary, Ground Thyme, White Pepper;;Pack contains 5 servings
Philips Smart Led Amber Glass 50W E27 Bulb;https://www.tesco.com/groceries/en-GB/products/312834711;15;GBP;PHILIPS SMART LED AMBER GLASS 50W E27 BULB . Easy plug-and-play. Works with your existing Wi-Fi.,Smart dimming via app, voice or dimmer,Tunable warm to cool white and preset modes;PHILIPS;;;;;;
Tesco Kiwi Strawberry & Melon 125G;https://www.tesco.com/groceries/en-GB/products/311447192;1.15;GBP;Melon, kiwi fruit and strawberry.;TESCO;5;2;Pack size: 125G;;;1 Servings
Fred & Flo Weaning Bowl And Spoon Set;https://www.tesco.com/groceries/en-GB/products/301254043;3.15;GBP;Fred and Flo Weaning Bowl and Spoon;FRED & FLO;5;1;;;;
Spidey Little Vehicles;https://www.tesco.com/groceries/en-GB/products/309909622;7;GBP;Spidey Little Vehicles;SPIDEY;;;;;;
Halo Top Gooey Brownie Ice Cream 473Ml;https://www.tesco.com/groceries/en-GB/products/305830759;5.25;GBP;Chocolate Brownie Flavoured Ice Cream with Brownie Sauce (4.9%) and Brownie Pieces (4.9%), with Sugars and Sweeteners. 380 kcal per tub;HALO TOP;3.3;18;Pack size: 473ML;Reconstituted Skimmed Milk, Resistant Dextrin, Cream, Bownie Sauce (4.9%) (Sugar, Water, Glucose Syrup, Coconut Oil, Fat-Reduced Cocoa Powder (5%), Cocoa Mass, Modified Starch, Natural Flavour, Emulsifier (Sunflower Lecithin), Thickener (Carrageenan), Salt), Brownie Pieces (4.9%) (Sweetener (Maltitol), Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Sunflower Oil, Fat-Reduced Cocoa Powder (8.7%), Carob Extract, Apple Extract, Humectant (Glycerol), Natural Flavour, Salt, Emulsifier (Soy Lecithin), Raising Agents (Diphosphates, Sodium Carbonates) (Wheat)), Sweetener (Erythritol), Skimmed Milk Powder, Eggs, Sugar, Fat-Reduced Cocoa Powder (2.3%), Stabiliser (Glycerol), Sea Salt, Emulsifiers (Propane-1, 2-diol Esters of Fatty Acids, Mono and Diglycerides of Fatty Acids), Stabilisers (Guar Gum, Locust Bean Gum, Carrageenan), Sweetener (Steviol Glycosides);;
Sensodyne Rapid Relief 75Ml;https://www.tesco.com/groceries/en-GB/products/295872777;4.5;GBP;Sensodyne Rapid Relief Original 75ml;SENSODYNE;4.4;94;Pack size: 75ML;"Glycerin, PEG-8, Hydrated Silica, Pentasodium Triphosphate, Aroma, Sodium Lauryl Sulfate, Titanium Dioxide, Carbomer, Stannous Fluoride, Cocamidopropyl Betaine, Sodium Saccharin, Sodium Fluoride, Limonene. Contains Stannous Fluoride 0.454% w/w, Sodium Fluoride 0.072% w/w (1450 ppm Fluoride). 

As we are always looking to improve our products, our formulations change from time to time, so please always check the product packaging before use.";;
Top Life Formula Puppy Milk 200Ml;https://www.tesco.com/groceries/en-GB/products/260587673;0.9;GBP;Top Life Formula Puppy Milk 200Ml. Follow us on:. Twitter. Facebook. Made with highly digestible goats' milk,C + E added vitamins,Contains taurine,Vitamins C & E - to support early immune system development,Taurine - for Healthy eyes,A deliciously refreshing milk treat your puppy will love,A complementary pet food for puppies,No artificial ingredients colours, flavours or preservatives;TOP LIFE;4.7;3;Pack size: 200ML;Goats' Milk;;
Nissin Cup Noodles Katsu Curry 73G;https://www.tesco.com/groceries/en-GB/products/306947886;1.5;GBP;Instant Curry Flavour Noodle Soup.;NISSIN;5;2;Pack size: 73G;Noodles 74.9% [Wheat Flour, Palm Oil, Starch, Salt, Onion Powder, Flavour Enhancer (Monosodium Glutamate), Flour Treatment Agents (Sodium Carbonate, Triphosphates), Antioxidant (Tocopherol-Rich Extract), Acidity Regulator (Citric Acid), Colour (Carotenes)], Sugar, Maltodextrin, Curry Powder 2.1% [Spices (Mustard), Wheat Flour, Salt], Spices, Edamame Bean (Soya), Carrot, Textured Wheat Protein [Wheat Gluten, Stabiliser (Calcium Sulphate)], Modified Starch, Garlic Powder, Flavourings (contain Wheat, Soya, Milk), Yeast Extract, Flavour Enhancers (Monosodium Glutamate, Disodium Guanylate, Disodium Inosinate), Potato Powder, Onion, Stabiliser (Potassium Chloride), Hydrolysed Maize Protein, Thicker (Xanthan Gum), Spring Onion, Salt, Dextrose, Chicken Meat Powder, Skimmed Milk Powder, Soy Sauce Powder (Soybean, Wheat, Salt, Maltodextrin), Anti-Caking Agent (Silicon Dioxide), Colours (Ammonia Caramel, Paprika Extract), Worcestershire Sauce Powder [Maltodextrin, Molasses, Vinegar, Corn Syrup, Salt, Spices (Celery), Colour (Sulphite Ammonia Caramel), Sugar, Tamarind, Flavouring];;
Tesco 12 Filled Mini Churros 210G;https://www.tesco.com/groceries/en-GB/products/309449307;2.5;GBP;Mini doughnuts filled with a chocolate and hazelnut flavoured sauce with cinnamon sugar.;TESCO;3.5;12;Pack size: 210G;;;approx. 12 Servings
Kopparberg Mixed Fruit Tropical Premium Cider 4 X 330Ml;https://www.tesco.com/groceries/en-GB/products/308099405;5;GBP;Apple Cider with a Taste of Tropical Fruit;KOPPARBERG;2.3;3;Pack size: 1320ML;;4.0% vol;
